Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/25,4:00:00,0.10342,21.10681,21.26537,No data,No data,55.7,2.2,12.1
2020/6/25,5:00:00,0.54294,27.54769,28.38018,No data,No data,72.6,2.2,11.8
2020/6/25,6:00:00,2.63713,30.97713,35.02067,No data,No data,71.7,1.9,11.9
2020/6/25,7:00:00,3.38691,26.74441,31.93759,No data,No data,84.6,2.3,12
2020/6/25,8:00:00,5.8172,32.22773,41.14732,No data,No data,87.4,2.2,12.4
2020/6/25,9:00:00,4.42108,24.32864,31.10753,No data,No data,89.3,2.2,13.4
2020/6/25,10:00:00,4.78304,22.46926,29.80315,No data,No data,104.3,3,15.3
2020/6/25,11:00:00,5.50695,19.14577,27.58965,No data,No data,107.4,4,18.7
2020/6/25,12:00:00,2.40445,15.00938,18.69614,No data,No data,113.5,5,21.4
2020/6/25,13:00:00,3.23178,13.34554,18.30087,No data,No data,117.7,4.8,22.8
2020/6/25,14:00:00,2.24932,9.71349,13.1624,No data,No data,113.2,5.1,24.1
2020/6/25,15:00:00,1.31857,9.36192,11.3837,No data,No data,112.9,5.5,24.3
2020/6/25,16:00:00,1.44784,10.54714,12.76713,No data,No data,114,5.4,24.1
2020/6/25,17:00:00,1.29271,14.14477,16.1269,No data,No data,115.6,5.1,23.7
2020/6/25,18:00:00,1.16344,17.86086,19.64478,No data,No data,119.8,4.7,23.1
2020/6/25,19:00:00,0.98246,20.1147,21.62112,No data,No data,106.3,3.9,21.8
2020/6/25,20:00:00,1.68053,20.62541,23.20218,No data,No data,90.6,3.9,19.7
2020/6/25,21:00:00,0.20683,20.19723,20.51437,No data,No data,88.6,3.5,18
2020/6/25,22:00:00,0.49123,21.14459,21.8978,No data,No data,106.6,4.1,17.1
2020/6/25,23:00:00,0.33611,20.03854,20.55389,No data,No data,112.1,3.6,16.3
2020/6/25,24:00:00,0.31025,17.74611,18.22182,No data,No data,99.7,3,15.7
2020/6/26,1:00:00,0.06895,17.70766,17.81338,No data,No data,62.4,1.5,14.8
2020/6/26,2:00:00,0.24131,17.28527,17.65527,No data,No data,46.4,2.3,13.5
2020/6/26,3:00:00,0.20683,20.63202,20.94916,No data,No data,51,2,12.9
2020/6/26,4:00:00,0.2844,19.84114,20.27721,No data,No data,61.4,1.5,12.6
2020/6/26,5:00:00,0.49123,21.02601,21.77922,No data,No data,46.5,1.6,12.2
